ensembl,name
ENSG00000110492,MDK
ENSG00000096433,ITPR3
ENSG00000141096,DPEP3
ENSG00000189152,GRAPL
ENSG00000247596,TWF2
ENSG00000079691,LRRC16A
ENSG00000204542,C6orf15
ENSG00000184304,PRKD1
ENSG00000170571,EMB
ENSG00000135631,RAB11FIP5
ENSG00000112337,SLC17A2
ENSG00000101546,RBFA
ENSG00000176340,COX8A
ENSG00000125531,C20orf195
ENSG00000164088,PPM1M
ENSG00000171097,CCBL1
ENSG00000006634,DBF4
ENSG00000119042,SATB2
ENSG00000183117,CSMD1
ENSG00000204540,PSORS1C1
ENSG00000221988,PPT2
ENSG00000204701,OR2J3
ENSG00000089639,GMIP
ENSG00000173421,CCDC36
ENSG00000073711,PPP2R3A
ENSG00000115540,MOB4
ENSG00000224997,
ENSG00000224420,ADM5
ENSG00000189134,NKAPL
ENSG00000187051,RPS19BP1
ENSG00000124613,ZNF391
ENSG00000137312,FLOT1
ENSG00000213760,ATP6V1G2
ENSG00000203879,GDI1
ENSG00000166484,MAPK7
ENSG00000196547,MAN2A2
ENSG00000178922,HYI
ENSG00000180929,GPR62
ENSG00000163357,DCST1
ENSG00000158373,HIST1H2BD
ENSG00000183454,GRIN2A
ENSG00000204681,GABBR1
ENSG00000164182,NDUFAF2
ENSG00000102125,TAZ
ENSG00000184206,GOLGA6L4
ENSG00000124557,BTN1A1
ENSG00000205220,PSMB10
ENSG00000081842,PCDHA6
ENSG00000112343,TRIM38
ENSG00000188266,HYKK
ENSG00000204209,DAXX
ENSG00000161904,LEMD2
ENSG00000189283,FHIT
ENSG00000164508,HIST1H2AA
ENSG00000149735,GPHA2
ENSG00000166716,ZNF592
ENSG00000101210,EEF1A2
ENSG00000146215,CRIP3
ENSG00000107077,KDM4C
ENSG00000242574,HLA-DMB
ENSG00000147535,PPAPDC1B
ENSG00000120709,FAM53C
ENSG00000204531,POU5F1
ENSG00000158691,ZSCAN12
ENSG00000163635,ATXN7
ENSG00000204852,TCTN1
ENSG00000150625,GPM6A
ENSG00000162972,C2orf47
ENSG00000110031,LPXN
ENSG00000204574,ABCF1
ENSG00000204580,DDR1
ENSG00000232629,HLA-DQB2
ENSG00000158552,ZFAND2B
ENSG00000141564,RPTOR
ENSG00000102974,CTCF
ENSG00000204314,PRRT1
ENSG00000015413,DPEP1
ENSG00000204390,HSPA1L
ENSG00000151838,CCDC175
ENSG00000149922,TBX6
ENSG00000156395,SORCS3
ENSG00000255152,MSH5-SAPCD1
ENSG00000168772,CXXC4
ENSG00000120903,CHRNA2
ENSG00000154016,GRAP
ENSG00000178567,EPM2AIP1
ENSG00000248383,PCDHAC1
ENSG00000105928,DFNA5
ENSG00000010319,SEMA3G
ENSG00000231925,TAPBP
ENSG00000204969,PCDHA2
ENSG00000028116,VRK2
ENSG00000146938,NLGN4X
ENSG00000204315,FKBPL
ENSG00000126458,RRAS
ENSG00000160161,CILP2
ENSG00000162944,RFTN2
ENSG00000135250,SRPK2
ENSG00000120885,CLU
ENSG00000107882,SUFU
ENSG00000080644,CHRNA3
ENSG00000157911,PEX10
ENSG00000126790,L3HYPDH
ENSG00000026950,BTN3A1
ENSG00000166165,CKB
ENSG00000115896,PLCL1
ENSG00000100731,PCNX
ENSG00000204308,RNF5
ENSG00000161896,IP6K3
ENSG00000103415,HMOX2
ENSG00000122490,PQLC1
ENSG00000171953,ATPAF2
ENSG00000164588,HCN1
ENSG00000109572,CLCN3
ENSG00000250091,DNAH10OS
ENSG00000168237,GLYCTK
ENSG00000013563,DNASE1L1
ENSG00000163938,GNL3
ENSG00000227057,WDR46
ENSG00000144567,FAM134A
ENSG00000167264,DUS2
ENSG00000115541,HSPE1
ENSG00000068971,PPP2R5B
ENSG00000188803,SHISA6
ENSG00000133107,TRPC4
ENSG00000204356,NELFE
ENSG00000163113,OTUD7B
ENSG00000124575,HIST1H1D
ENSG00000050130,JKAMP
ENSG00000047346,FAM214A
ENSG00000105894,PTN
ENSG00000152219,ARL14EP
ENSG00000182511,FES
ENSG00000187145,MRPS21
ENSG00000170445,HARS
ENSG00000204220,PFDN6
ENSG00000175224,ATG13
ENSG00000239732,TLR9
ENSG00000186010,NDUFA13
ENSG00000171467,ZNF318
ENSG00000114988,LMAN2L
ENSG00000162374,ELAVL4
ENSG00000204388,HSPA1B
ENSG00000197697,HIST1H2BE
ENSG00000117362,APH1A
ENSG00000204435,CSNK2B
ENSG00000197409,HIST1H3D
ENSG00000156011,PSD3
ENSG00000175197,DDIT3
ENSG00000230778,ANKRD63
ENSG00000255408,PCDHA3
ENSG00000162426,SLC45A1
ENSG00000159208,C1orf51
ENSG00000023171,GRAMD1B
ENSG00000104626,ERI1
ENSG00000198597,ZNF536
ENSG00000115392,FANCL
ENSG00000147548,WHSC1L1
ENSG00000156735,BAG4
ENSG00000174564,IL20RB
ENSG00000143702,CEP170
ENSG00000181896,ZNF101
ENSG00000253426,
ENSG00000158553,POM121L2
ENSG00000149295,DRD2
ENSG00000006744,ELAC2
ENSG00000204560,DHX16
ENSG00000256453,DND1
ENSG00000211450,C11orf31
ENSG00000156603,MED19
ENSG00000187664,HAPLN4
ENSG00000250120,PCDHA10
ENSG00000165417,GTF2A1
ENSG00000224389,C4B
ENSG00000124212,PTGIS
ENSG00000186522,SEPT10
ENSG00000081189,MEF2C
ENSG00000106263,EIF3B
ENSG00000250264,
ENSG00000244731,C4A
ENSG00000100401,RANGAP1
ENSG00000249158,PCDHA11
ENSG00000183066,WBP2NL
ENSG00000184164,CRELD2
ENSG00000103064,SLC7A6
ENSG00000103426,CORO7-PAM16
ENSG00000128285,MCHR1
ENSG00000204472,AIF1
ENSG00000023330,ALAS1
ENSG00000204421,LY6G6C
ENSG00000151067,CACNA1C
ENSG00000119242,CCDC92
ENSG00000197136,PCNXL3
ENSG00000158445,KCNB1
ENSG00000151327,FAM177A1
ENSG00000135164,DMTF1
ENSG00000137259,HIST1H2AB
ENSG00000164758,MED30
ENSG00000213722,DDAH2
ENSG00000120451,SNX19
ENSG00000164037,SLC9B1
ENSG00000165916,PSMC3
ENSG00000204428,LY6G5C
ENSG00000204444,APOM
ENSG00000204644,ZFP57
ENSG00000171045,TSNARE1
ENSG00000148843,PDCD11
ENSG00000204511,MCCD1
ENSG00000107954,NEURL1
ENSG00000179195,ZNF664
ENSG00000171962,LRRC48
ENSG00000269490,
ENSG00000118292,C1orf54
ENSG00000146109,ABT1
ENSG00000198563,DDX39B
ENSG00000079689,SCGN
ENSG00000197279,ZNF165
ENSG00000184144,CNTN2
ENSG00000158406,HIST1H4H
ENSG00000168016,TRANK1
ENSG00000204396,VWA7
ENSG00000206344,HCG27
ENSG00000141258,SGSM2
ENSG00000124529,HIST1H4B
ENSG00000198366,HIST1H3A
ENSG00000054282,SDCCAG8
ENSG00000149150,SLC43A1
ENSG00000171174,RBKS
ENSG00000030110,BAK1
ENSG00000139970,RTN1
ENSG00000187475,HIST1H1T
ENSG00000156414,TDRD9
ENSG00000154146,NRGN
ENSG00000176349,
ENSG00000167491,GATAD2A
ENSG00000197153,HIST1H3J
ENSG00000143434,SEMA6C
ENSG00000182196,ARL6IP4
ENSG00000166166,TRMT61A
ENSG00000186652,PRG2
ENSG00000120705,ETF1
ENSG00000269104,
ENSG00000131899,LLGL1
ENSG00000143409,FAM63A
ENSG00000066248,NGEF
ENSG00000231389,HLA-DPA1
ENSG00000204642,HLA-F
ENSG00000088808,PPP1R13B
ENSG00000137841,PLCB2
ENSG00000101213,PTK6
ENSG00000204962,PCDHA8
ENSG00000120314,WDR55
ENSG00000197635,DPP4
ENSG00000105717,PBX4
ENSG00000231852,CYP21A2
ENSG00000059915,PSD
ENSG00000189298,ZKSCAN3
ENSG00000168070,C11orf85
ENSG00000156970,BUB1B
ENSG00000170396,ZNF804A
ENSG00000101109,STK4
ENSG00000091536,MYO15A
ENSG00000204516,MICB
ENSG00000184983,NDUFA6
ENSG00000165046,LETM2
ENSG00000184348,HIST1H2AK
ENSG00000163632,C3orf49
ENSG00000270757,HSPE1-MOB4
ENSG00000176974,SHMT1
ENSG00000140265,ZSCAN29
ENSG00000159761,C16orf86
ENSG00000204410,MSH5
ENSG00000186470,BTN3A2
ENSG00000164574,GALNT10
ENSG00000131323,TRAF3
ENSG00000178342,KCNG2
ENSG00000145907,G3BP1
ENSG00000159958,TNFRSF13C
ENSG00000196510,ANAPC7
ENSG00000124610,HIST1H1A
ENSG00000196331,HIST1H2BO
ENSG00000204700,OR2J2
ENSG00000222017,
ENSG00000107874,CUEDC2
ENSG00000121749,TBC1D15
ENSG00000122687,FTSJ2
ENSG00000173728,C1orf100
ENSG00000142599,RERE
ENSG00000166793,YPEL4
ENSG00000132600,PRMT7
ENSG00000204482,LST1
ENSG00000213593,TMX2
ENSG00000150967,ABCB9
ENSG00000003137,CYP26B1
ENSG00000144381,HSPD1
ENSG00000141013,GAS8
ENSG00000125534,PPDPF
ENSG00000257860,
ENSG00000117222,RBBP5
ENSG00000168273,SMIM4
ENSG00000188938,FAM120AOS
ENSG00000221819,C16orf3
ENSG00000100346,CACNA1I
ENSG00000140521,POLG
ENSG00000166482,MFAP4
ENSG00000168062,BATF2
ENSG00000143363,PRUNE
ENSG00000268656,
ENSG00000181790,BAI1
ENSG00000014914,MTMR11
ENSG00000133315,MACROD1
ENSG00000205981,DNAJC19
ENSG00000178773,CPNE7
ENSG00000204228,HSD17B8
ENSG00000113141,IK
ENSG00000149926,FAM57B
ENSG00000109956,B3GAT1
ENSG00000092020,PPP2R3C
ENSG00000090975,PITPNM2
ENSG00000037749,MFAP3
ENSG00000100426,ZBED4
ENSG00000204231,RXRB
ENSG00000171812,COL8A2
ENSG00000143369,ECM1
ENSG00000184903,IMMP2L
ENSG00000107862,GBF1
ENSG00000166170,BAG5
ENSG00000080854,IGSF9B
ENSG00000204348,DXO
ENSG00000182379,NXPH4
ENSG00000197912,SPG7
ENSG00000091542,ALKBH5
ENSG00000196850,PPTC7
ENSG00000157613,CREB3L1
ENSG00000089486,CDIP1
ENSG00000204965,PCDHA5
ENSG00000132563,REEP2
ENSG00000184357,HIST1H1B
ENSG00000143374,TARS2
ENSG00000175324,LSM1
ENSG00000235376,RPEL1
ENSG00000167720,SRR
ENSG00000093167,LRRFIP2
ENSG00000118007,STAG1
ENSG00000174010,KLHL15
ENSG00000197162,ZNF785
ENSG00000205334,
ENSG00000267001,
ENSG00000100167,SEPT3
ENSG00000187987,ZSCAN23
ENSG00000124568,SLC17A1
ENSG00000101438,SLC32A1
ENSG00000182611,HIST1H2AJ
ENSG00000182600,C2orf82
ENSG00000072518,MARK2
ENSG00000137872,SEMA6D
ENSG00000137310,TCF19
ENSG00000234965,SHISA8
ENSG00000198374,HIST1H2AL
ENSG00000133027,PEMT
ENSG00000010327,STAB1
ENSG00000112763,BTN2A1
ENSG00000241404,EGFL8
ENSG00000102904,TSNAXIP1
ENSG00000197283,SYNGAP1
ENSG00000103423,DNAJA3
ENSG00000188987,HIST1H4D
ENSG00000115840,SLC25A12
ENSG00000124578,HIST1H4G
ENSG00000166035,LIPC
ENSG00000258388,PPT2-EGFL8
ENSG00000241106,HLA-DOB
ENSG00000172409,CLP1
ENSG00000036257,CUL3
ENSG00000142546,NOSIP
ENSG00000077380,DYNC1I2
ENSG00000196236,XPNPEP3
ENSG00000204305,AGER
ENSG00000173114,LRRN3
ENSG00000178093,TSSK6
ENSG00000270316,C10orf32-ASMT
ENSG00000233822,HIST1H2BN
ENSG00000168274,HIST1H2AE
ENSG00000254870,ATP6V1G2-DDX39B
ENSG00000111237,VPS29
ENSG00000256316,HIST1H3F
ENSG00000204427,ABHD16A
ENSG00000083535,PIBF1
ENSG00000268838,
ENSG00000107872,FBXL15
ENSG00000261086,
ENSG00000181315,ZNF322
ENSG00000204568,MRPS18B
ENSG00000175806,MSRA
ENSG00000145075,CCDC39
ENSG00000205832,C16orf96
ENSG00000065609,SNAP91
ENSG00000196966,HIST1H3E
ENSG00000168268,NT5DC2
ENSG00000163354,DCST2
ENSG00000126457,PRMT1
ENSG00000180423,HARBI1
ENSG00000213588,ZBTB9
ENSG00000104219,ZDHHC2
ENSG00000153820,SPHKAP
ENSG00000197914,HIST1H4K
ENSG00000204475,NCR3
ENSG00000126091,ST3GAL3
ENSG00000198951,NAGA
ENSG00000167522,ANKRD11
ENSG00000105705,SUGP1
ENSG00000258830,
ENSG00000233436,BTBD18
ENSG00000204967,PCDHA4
ENSG00000197238,HIST1H4J
ENSG00000204252,HLA-DOA
ENSG00000173281,PPP1R3B
ENSG00000236104,ZBTB22
ENSG00000259288,
ENSG00000131374,TBC1D5
ENSG00000233224,HIST1H2AM
ENSG00000117020,AKT3
ENSG00000161217,PCYT1A
ENSG00000176753,C15orf56
ENSG00000162267,ITIH3
ENSG00000174437,ATP2A2
ENSG00000122970,IFT81
ENSG00000115474,KCNJ13
ENSG00000204385,SLC44A4
ENSG00000185130,HIST1H2BL
ENSG00000180720,CHRM4
ENSG00000196141,SPATS2L
ENSG00000112893,MAN2A1
ENSG00000204120,GIGYF2
ENSG00000166278,C2
ENSG00000196176,HIST1H4A
ENSG00000213533,TMEM110
ENSG00000149923,PPP4C
ENSG00000166275,C10orf32
ENSG00000204695,OR14J1
ENSG00000163125,RPRD2
ENSG00000157680,DGKI
ENSG00000214435,AS3MT
ENSG00000120029,C10orf76
ENSG00000166272,WBP1L
ENSG00000051825,MPHOSPH9
ENSG00000255552,LY6G6E
ENSG00000146007,ZMAT2
ENSG00000167653,PSCA
ENSG00000151062,CACNA2D4
ENSG00000196747,HIST1H2AI
ENSG00000174938,SEZ6L2
ENSG00000143537,ADAM15
ENSG00000144642,RBMS3
ENSG00000148798,INA
ENSG00000136631,VPS45
ENSG00000102882,MAPK3
ENSG00000204856,FAM216A
ENSG00000149179,C11orf49
ENSG00000124657,OR2B6
ENSG00000223865,HLA-DPB1
ENSG00000261884,
ENSG00000174943,KCTD13
ENSG00000137331,IER3
ENSG00000111328,CDK2AP1
ENSG00000143401,ANP32E
ENSG00000141086,CTRL
ENSG00000256018,HIST1H3G
ENSG00000205281,GOLGA6L10
ENSG00000144619,CNTN4
ENSG00000174579,MSL2
ENSG00000100425,BRD1
ENSG00000144040,SFXN5
ENSG00000166888,STAT6
ENSG00000118689,FOXO3
ENSG00000204394,VARS
ENSG00000187837,HIST1H1C
ENSG00000204657,OR2H2
ENSG00000127152,BCL11B
ENSG00000121769,FABP3
ENSG00000168477,TNXB
ENSG00000121766,ZCCHC17
ENSG00000148842,CNNM2
ENSG00000116127,ALMS1
ENSG00000182952,HMGN4
ENSG00000083290,ULK2
ENSG00000156374,PCGF6
ENSG00000183166,CALN1
ENSG00000204538,PSORS1C2
ENSG00000175662,TOM1L2
ENSG00000016864,GLT8D1
ENSG00000204961,PCDHA9
ENSG00000007923,DNAJC11
ENSG00000173327,MAP3K11
ENSG00000204539,CDSN
ENSG00000243147,MRPL33
ENSG00000250067,YJEFN3
ENSG00000204392,LSM2
ENSG00000071859,FAM50A
ENSG00000078328,RBFOX1
ENSG00000114841,DNAH1
ENSG00000168917,SLC35G2
ENSG00000204963,PCDHA7
ENSG00000176490,DIRAS1
ENSG00000213996,TM6SF2
ENSG00000117971,CHRNB4
ENSG00000196787,HIST1H2AG
ENSG00000163131,CTSS
ENSG00000204536,CCHCR1
ENSG00000226124,FTCDNL1
ENSG00000183955,SETD8
ENSG00000008277,ADAM22
ENSG00000169592,INO80E
ENSG00000115649,CNPPD1
ENSG00000171206,TRIM8
ENSG00000149932,TMEM219
ENSG00000149930,TAOK2
ENSG00000096395,MLN
ENSG00000223501,VPS52
ENSG00000143603,KCNN3
ENSG00000268821,
ENSG00000187772,LIN28B
ENSG00000198917,C9orf114
ENSG00000140612,SEC11A
ENSG00000168131,OR2B2
ENSG00000138028,CGREF1
ENSG00000214575,CPEB1
ENSG00000120738,EGR1
ENSG00000147465,STAR
ENSG00000114054,PCCB
ENSG00000204304,PBX2
ENSG00000184825,HIST1H2AH
ENSG00000272305,
ENSG00000174939,ASPHD1
ENSG00000204389,HSPA1A
ENSG00000182199,SHMT2
ENSG00000103034,NDRG4
ENSG00000198963,RORB
ENSG00000232810,TNF
ENSG00000260836,
ENSG00000076685,NT5C2
ENSG00000064726,BTBD1
ENSG00000096654,ZNF184
ENSG00000116871,MAP7D1
ENSG00000182257,C22orf26
ENSG00000272573,MUSTN1
ENSG00000140600,SH3GL3
ENSG00000134569,LRP4
ENSG00000089250,NOS1
ENSG00000198822,GRM3
ENSG00000213398,LCAT
ENSG00000204422,
ENSG00000166086,JAM3
ENSG00000149564,ESAM
ENSG00000171604,CXXC5
ENSG00000204970,PCDHA1
ENSG00000049167,ERCC8
ENSG00000128268,MGAT3
ENSG00000156218,ADAMTSL3
ENSG00000117385,LEPRE1
ENSG00000178074,C2orf69
ENSG00000137843,PAK6
ENSG00000126460,PRRG2
ENSG00000240065,PSMB9
ENSG00000137411,VARS2
ENSG00000149927,DOC2A
ENSG00000237441,RGL2
ENSG00000153064,BANK1
ENSG00000196735,HLA-DQA1
ENSG00000066135,KDM4A
ENSG00000010704,HFE
ENSG00000145354,CISD2
ENSG00000163634,THOC7
ENSG00000167526,RPL13
ENSG00000085563,ABCB1
ENSG00000170482,SLC23A1
ENSG00000108953,YWHAE
ENSG00000204227,RING1
ENSG00000085788,DDHD2
ENSG00000103067,ESRP2
ENSG00000120458,MSANTD2
ENSG00000175220,ARHGAP1
ENSG00000139697,SBNO1
ENSG00000268162,
ENSG00000196532,HIST1H3C
ENSG00000196628,TCF4
ENSG00000197935,ZNF311
ENSG00000103740,ACSBG1
ENSG00000129933,MAU2
ENSG00000180596,HIST1H2BC
ENSG00000126453,BCL2L12
ENSG00000254462,TMX2-CTNND1
ENSG00000163939,PBRM1
ENSG00000124693,HIST1H3B
ENSG00000196588,MKL1
ENSG00000100711,ZFYVE21
ENSG00000119383,PPP2R4
ENSG00000100883,SRP54
ENSG00000259511,UBE2Q2L
ENSG00000165995,CACNB2
ENSG00000168394,TAP1
ENSG00000130779,CLIP1
ENSG00000149970,CNKSR2
ENSG00000125107,CNOT1
ENSG00000204709,C6orf100
ENSG00000172346,CSDC2
ENSG00000197653,DNAH10
ENSG00000197903,HIST1H2BK
ENSG00000182572,HIST1H3I
ENSG00000108591,DRG2
ENSG00000197696,NMB
ENSG00000146047,HIST1H2BA
ENSG00000149925,ALDOA
ENSG00000174529,TMEM81
ENSG00000090238,YPEL3
ENSG00000175216,CKAP5
ENSG00000183172,SMDT1
ENSG00000204525,HLA-C
ENSG00000151914,DST
ENSG00000110046,ATG2A
ENSG00000196924,FLNA
ENSG00000234745,HLA-B
ENSG00000228157,
ENSG00000118298,CA14
ENSG00000072134,EPN2
ENSG00000138311,ZNF365
ENSG00000126456,IRF3
ENSG00000107021,TBC1D13
ENSG00000118260,CREB1
ENSG00000124635,HIST1H2BJ
ENSG00000108557,RAI1
ENSG00000123384,LRP1
ENSG00000124067,SLC12A4
ENSG00000204371,EHMT2
ENSG00000204386,NEU1
ENSG00000065413,ANKRD44
ENSG00000182319,
ENSG00000155363,MOV10
ENSG00000248592,TMEM110-MUSTN1
ENSG00000146039,SLC17A4
ENSG00000149091,DGKZ
ENSG00000149292,TTC12
ENSG00000198315,ZKSCAN8
